id_discipline,disciplineName,semester,obligatory,totalHours,weeksHours,cfu,year,course
28796,COMPLEMENTI DI BASI DI DATI,1,true,60,5,6,1,8028A
28796,COMPLEMENTI DI BASI DI DATI,1,true,60,5,6,1,8028B
28796,COMPLEMENTI DI BASI DI DATI,1,true,60,5,6,1,8028C
26337,IDONEITA' LINGUA INGLESE B - 2,1,true,50,5,6,1,8028A
26337,IDONEITA'LINGUA INGLESE B - 2,1,true,50,5,6,1,8028B
26337,IDONEITA'LINGUA INGLESE B - 2,1,true,50,5,6,1,8028C
81670,USABILITA'E USER EXPERIENCE,1,true,60,6,6,1,8028A
81670,USABILITA' E USER EXPERIENCE,1,true,60,6,6,1,8028B
81670,USABILITA' E USER EXPERIENCE,1,true,60,6,6,1,8028C
81941,COMPILATORI E INTERPRETI,2,true,60,5,6,1,8028A
81941,COMPILATORI E INTERPRETI,2,true,60,5,6,1,8028B
81941,COMPILATORI E INTERPRETI,2,true,60,5,6,1,8028C
81960,GIOCHI E MODELLI BOOLEANI ANALISI DI SCENARI STRATEGICI (C.I),2,true,60,6,6,1,8028B
82114,ANALISI DI SCENARI STRATEGICI,1,true,60,6,6,1,8028B
77803,INGEGNERIA DEL SOFTWARE ORIENTATA AI SERVIZI,1,false,50,5,6,1,8028
37760,SIMULAZIONE DI SISTEMI,1,false,50,5,6,1,8028
81943,COMPLEX SYSTEMS & NETWORK SCIENCE,2,false,50,5,6,1,8028
66870,MODELLI E SISTEMI CONCORRENTI,2,false,50,5,6,1,8028
23762,FISICA DEI SISTEMI COMPLESSI,1,false,50,5,6,1,8028
30214,FONDAMENTI LOGICI DELL INFORMATICA,1,false,50,5,6,1,8028
30216,MODELLI PROBABILISTICI,1,false,50,5,6,1,8028
17661,GRAFICA,2,false,50,5,6,1,8028
12569,MATEMATICA COMPUTAZIONALE,2,false,50,5,6,1,8028
72677,ANALISI DELLE RETI SOCIALI APPLICATA AD INTERNET,1,true,60,6,6,2,8028B
77804,SISTEMI PEER-TO-PEER,1,true,60,6,6,2,8028B
81681,RAPPRESENTAZIONE DELLA CONOSCENZA,2,true,60,6,6,2,8028B
84401,SISTEMI CONTEXT-AWARE,2,true,60,6,6,2,8028B
81676,DIGITAL FORENSICS,1,false,50,6,6,2,8028
34549,ELABORAZIONE DEL LINGUAGGIO NATURALE,1,false,50,6,6,2,8028
87469,DECISION MAKING WITH CONSTRAINT PROGRAMMING,2,false,50,6,6,2,8028
81683,INTERNET OF THINGS,2,false,50,6,6,2,8028
81678,LABORATORIO DI MAKING,2,false,50,6,6,2,8028
87470,SOCIAL ROBOTS,2,false,50,6,6,2,8028
81668,ALGORITMI,1,true,60,6,6,1,8028A
81668,ALGORITMI,1,true,60,6,6,1,8028C
81940,INTELLIGENZA ARTIFICIALE,2,true,60,6,6,1,8028A
81940,INTELLIGENZA ARTIFICIALE,2,true,60,6,6,1,8028A
72676,CRITTOGRAFIA,1,true,60,6,6,2,8028A
81610,MACHINE LEARNING,1,true,60,6,6,2,8028A
81942,SCALABLE AND CLOUD PROGRAMMING,1,true,60,6,6,2,8028A
81672,EMERGING PROGRAMMING PARADIGMS,2,true,60,6,6,2,8028A
87474,DISTRIBUTED SYSTEMS,1,true,60,6,6,2,8028C
77805,SOFTWARE ARCHITECTURES,1,true,60,6,6,2,8028C
77808,WIRELESS SYSTEMS AND NETWORKS,1,true,60,6,6,2,8028C
81979,INTERACTIVE AND MULTIMEDIA TECHNOLOGIES,2,true,60,6,6,2,8028C
