id_discipline,disciplineName,semester,obligatory,totalHours,weeksHours,cfu,year
28796,COMPLEMENTI DI BASI DI DATI ,1,true,60,5,6,1
26337,IDONEITA' LINGUA INGLESE B - 2 ,1,true,50,5,6,1
81670,USABILITA' E USER EXPERIENCE ,1,true,60,6,6,1
81941,COMPILATORI E INTERPRETI ,2,true,60,5,6,1
81960,GIOCHI E MODELLI BOOLEANI ANALISI DI SCENARI STRATEGICI (C.I) ,2,true,60,6,6,1
82114,ANALISI DI SCENARI STRATEGICI ,1,true,60,6,6,1
77803,INGEGNERIA DEL SOFTWARE ORIENTATA AI SERVIZI,1,false,50,5,6,1
37760,SIMULAZIONE DI SISTEMI,1,false,50,5,6,1
81943,COMPLEX SYSTEMS & NETWORK SCIENCE ,2,false,50,5,6,1
66870,MODELLI E SISTEMI CONCORRENTI,2,false,50,5,6,1
23762,FISICA DEI SISTEMI COMPLESSI,1,false,50,5,6,1
30214,FONDAMENTI LOGICI DELL'INFORMATICA,1,false,50,5,6,1
30216,MODELLI PROBABILISTICI ,1,false,50,5,6,1
17661,GRAFICA,2,false,50,5,6,1
12569,MATEMATICA COMPUTAZIONALE,2,false,50,5,6,1
72677,ANALISI DELLE RETI SOCIALI APPLICATA AD INTERNET ,1,true,60,6,6,2
77804,SISTEMI PEER-TO-PEER ,1,true,60,6,6,2
81681,RAPPRESENTAZIONE DELLA CONOSCENZA ,2,true,60,6,6,2
84401,SISTEMI CONTEXT-AWARE ,2,true,60,6,6,2
81676,DIGITAL FORENSICS ,1,false,50,6,6,2
34549,ELABORAZIONE DEL LINGUAGGIO NATURALE ,1,false,50,6,6,2
87469,DECISION MAKING WITH CONSTRAINT PROGRAMMING,2,false,50,6,6,2
81683,INTERNET OF THINGS ,2,false,50,6,6,2
81678,LABORATORIO DI MAKING ,2,false,50,6,6,2
87470,SOCIAL ROBOTS ,2,false,50,6,6,2
